genre, rating, recordNum
Film-Noir,1,266
Film-Noir,2,829
Film-Noir,3,3224
Film-Noir,4,6889
Film-Noir,5,7053
Crime,1,3219
Crime,2,7433
Crime,3,19542
Crime,4,28454
Crime,5,20893
Animation,1,2097
Animation,2,3587
Animation,3,10973
Animation,4,15841
Animation,5,10795
Romance,1,6347
Romance,2,15249
Romance,3,40428
Romance,4,53440
Romance,5,32059
Horror,1,8928
Horror,2,11970
Horror,3,21400
Horror,4,21926
Horror,5,12162
Comedy,1,21616
Comedy,2,41073
Comedy,3,96946
Comedy,4,123415
Comedy,5,73530
Mystery,1,1735
Mystery,2,4026
Mystery,3,10117
Mystery,4,14261
Mystery,5,10039
Western,1,1070
Western,2,1945
Western,3,5357
Western,4,7346
Western,5,4965
Adventure,1,8494
Adventure,2,16641
Adventure,3,37867
Adventure,4,44343
Adventure,5,26608
Action,1,16531
Action,2,31432
Action,3,70728
Action,4,86579
Action,5,52187
War,1,2447
War,2,4854
War,3,13684
War,4,24119
War,5,23423
Fantasy,1,2367
Fantasy,2,4729
Fantasy,3,10491
Fantasy,4,11725
Fantasy,5,6989
Children's,1,5875
Children's,2,8637
Children's,3,20396
Children's,4,23704
Children's,5,13574
Musical,1,2093
Musical,2,3779
Musical,3,10550
Musical,4,14616
Musical,5,10495
Sci-Fi,1,11052
Sci-Fi,2,20153
Sci-Fi,3,42892
Sci-Fi,4,50756
Sci-Fi,5,32441
Thriller,1,10081
Thriller,2,21256
Thriller,3,50127
Thriller,4,66808
Thriller,5,41408
Drama,1,12114
Drama,2,29154
Drama,3,84821
Drama,4,131811
Drama,5,96629
Documentary,1,271
Documentary,2,477
Documentary,3,1446
Documentary,4,3032
Documentary,5,2684
