movieID, rating, recordNum
1,1,16
1,2,61
1,3,345
1,4,835
1,5,820
2,1,42
2,2,108
2,3,266
2,4,237
2,5,48
3,1,44
3,2,95
3,3,191
3,4,105
3,5,43
4,1,21
4,2,47
4,3,65
4,4,31
4,5,6
5,1,28
5,2,54
5,3,118
5,4,80
5,5,16
6,1,14
6,2,58
6,3,216
6,4,392
6,5,260
7,1,18
7,2,49
7,3,179
7,4,151
7,5,61
8,1,4
8,2,15
8,3,28
8,4,18
8,5,3
9,1,16
9,2,29
9,3,33
9,4,22
9,5,2
10,1,15
10,2,87
10,3,299
10,4,377
10,5,110
11,1,11
11,2,62
11,3,262
11,4,492
11,5,206
12,1,51
12,2,38
12,3,41
12,4,22
12,5,8
13,1,8
13,2,12
13,3,34
13,4,36
13,5,9
14,1,3
14,2,13
14,3,52
14,4,68
14,5,17
15,1,45
15,2,27
15,3,43
15,4,24
15,5,7
17,1,13
17,2,31
17,3,159
17,4,349
17,5,283
16,1,7
16,2,42
16,3,196
16,4,277
16,5,160
19,1,98
19,2,105
19,3,111
19,4,51
19,5,24
18,1,8
18,2,20
18,3,59
18,4,51
18,5,19
21,1,24
21,2,127
21,3,418
21,4,553
21,5,234
20,1,25
20,2,44
20,3,71
20,4,20
23,1,14
23,2,27
23,3,52
23,4,29
23,5,4
22,1,17
22,2,47
22,3,140
22,4,135
22,5,39
25,1,53
25,2,87
25,3,237
25,4,375
25,5,228
24,1,46
24,2,110
24,3,215
24,4,192
24,5,61
27,1,5
27,2,13
27,3,27
27,4,13
27,5,3
26,1,4
26,2,9
26,3,28
26,4,48
26,5,11
29,1,8
29,2,25
29,3,65
29,4,141
29,5,164
28,1,2
28,2,5
28,3,36
28,4,74
28,5,62
31,1,10
31,2,18
31,3,69
31,4,34
31,5,10
30,1,2
30,2,5
30,3,28
30,4,21
30,5,18
34,1,59
34,2,118
34,3,340
34,4,671
34,5,563
35,1,1
35,2,12
35,3,27
35,4,24
35,5,6
32,1,21
32,2,106
32,3,301
