state,avgRating,recordNum
VT,4.0,8
RI,3.7,10
HI,5.0,6
ME,4.238095238095238,21
VA,4.412371134020619,97
MI,4.428571428571429,105
ID,4.857142857142857,7
DE,4.8,10
IA,4.48,25
MD,4.351351351351352,37
MA,4.145299145299146,117
AR,4.5,10
IL,4.472222222222222,144
UT,4.666666666666667,9
IN,4.3125,32
MN,4.265536723163842,177
AZ,4.222222222222222,36
MO,4.242424242424242,33
MT,4.5,6
MS,5.0,2
NH,4.333333333333333,15
NJ,4.253731343283582,67
PR,4.333333333333333,3
NM,4.461538461538462,13
AK,4.75,4
TX,4.457746478873239,142
AL,4.846153846153846,13
NC,4.431818181818182,44
ND,4.666666666666667,3
NE,4.25,12
NY,4.2272727272727275,176
GA,4.525,40
NV,4.642857142857143,14
TN,4.515151515151516,33
CA,4.228865979381443,485
OK,4.25,20
OH,4.2924528301886795,106
WY,4.6,5
FL,4.2405063291139244,79
SD,4.75,8
SC,4.35,20
CT,4.419354838709677,31
WV,4.0,5
DC,4.411764705882353,17
WI,4.5,66
KY,4.666666666666667,18
KS,4.444444444444445,18
OR,4.277777777777778,54
LA,4.526315789473684,19
WA,4.310344827586207,87
CO,4.519230769230769,52
PA,4.378048780487805,82
